date;Number_of_deaths;Number_of_deaths_rep_lag
13/12/20;71;89
14/12/20;94;68
15/12/20;88;71
16/12/20;102;94
17/12/20;116;88
18/12/20;71;102
19/12/20;80;116
20/12/20;94;71
21/12/20;76;80
22/12/20;93;94
23/12/20;87;76
24/12/20;88;93
25/12/20;106;87
26/12/20;94;88
27/12/20;99;106
28/12/20;121;94
29/12/20;73;99
30/12/20;90;121
31/12/20;110;73
1/1/21;87;90
2/1/21;99;110
3/1/21;83;87
4/1/21;86;99
5/1/21;93;83
6/1/21;82;86
7/1/21;103;93
8/1/21;99;82
9/1/21;89;103
10/1/21;92;99
11/1/21;89;89
12/1/21;89;92
13/1/21;91;89
14/1/21;95;89
15/1/21;90;91
16/1/21;83;95
17/1/21;61;90
18/1/21;72;83
19/1/21;92;61
20/1/21;87;72
21/1/21;88;92
22/1/21;59;87
23/1/21;64;88
24/1/21;51;59
25/1/21;59;64
26/1/21;67;51
27/1/21;54;59
28/1/21;55;67
29/1/21;58;54
30/1/21;57;55
31/1/21;39;58
1/2/21;46;57
2/2/21;43;39
3/2/21;52;46
4/2/21;30;43
5/2/21;36;52
6/2/21;33;30
7/2/21;29;36
8/2/21;39;33
9/2/21;25;29
10/2/21;27;39
11/2/21;33;25
12/2/21;28;27
13/2/21;25;33
14/2/21;28;28
15/2/21;23;25
16/2/21;22;28
17/2/21;34;23
18/2/21;18;22
19/2/21;25;34
20/2/21;29;18
21/2/21;21;25
22/2/21;25;29
23/2/21;13;21
24/2/21;26;25
25/2/21;20;13
26/2/21;18;26
27/2/21;19;20
28/2/21;25;18
1/3/21;24;19
2/3/21;23;25
3/3/21;18;24
4/3/21;19;23
5/3/21;15;18
6/3/21;12;19
7/3/21;17;15
8/3/21;24;12
9/3/21;20;17
10/3/21;21;24
11/3/21;15;20
12/3/21;19;21
13/3/21;19;15
14/3/21;22;19
15/3/21;21;19
16/3/21;15;22
17/3/21;19;21
18/3/21;18;15
19/3/21;11;19
20/3/21;25;18
21/3/21;18;11
22/3/21;16;25
23/3/21;14;18
24/3/21;16;16
25/3/21;22;14
26/3/21;22;16
27/3/21;19;22
28/3/21;17;22
29/3/21;23;19
30/3/21;16;17
31/3/21;23;23
1/4/21;25;16
2/4/21;22;23
3/4/21;18;25
4/4/21;14;22
5/4/21;24;18
6/4/21;13;14
7/4/21;22;24
8/4/21;22;13
9/4/21;24;22
10/4/21;11;22
11/4/21;17;24
12/4/21;16;11
13/4/21;21;17
14/4/21;28;16
15/4/21;25;21
16/4/21;15;28
17/4/21;20;25
18/4/21;16;15
19/4/21;15;20
20/4/21;26;16
21/4/21;24;15
22/4/21;16;26
23/4/21;17;24
24/4/21;13;16
25/4/21;20;17
26/4/21;11;13
27/4/21;23;20
28/4/21;21;11
29/4/21;19;23
30/4/21;17;21
1/5/21;12;19
2/5/21;12;17
3/5/21;19;12
4/5/21;13;12
5/5/21;17;19
6/5/21;10;13
7/5/21;13;17
8/5/21;19;10
9/5/21;16;13
10/5/21;22;19
11/5/21;10;16
12/5/21;11;22
13/5/21;19;10
14/5/21;24;11
15/5/21;12;19
16/5/21;13;24
17/5/21;9;12
18/5/21;9;13
19/5/21;7;9
20/5/21;12;9
21/5/21;12;7
22/5/21;9;12
23/5/21;11;12
24/5/21;4;9
